"term","estimate","ols_standard_error","t_statistic","p_value","ci_95_low","ci_95_high","r_squared","observations"
"Intercept",15.0182886904762,1.11857699417216,13.42624492433,7.16174545761348e-20,12.7815557512968,17.2550216296556,0.94069187544198,63
"Time trend (t)",0.968104358678955,0.0311236596060075,31.1050940324541,3.98401420621751e-39,0.905868754879428,1.03033996247848,NA,NA
