"term","estimate","newey_west_se","statistic","p_value","ci_95_lower","ci_95_upper","r_squared","observations"
"Intercept",15.0182886904762,2.96536643973184,5.06456419323147,4.04921124066727e-06,9.20627726763802,20.8303001133144,0.94069187544198,63
"Time trend (t)",0.968104358678955,0.0714425938441953,13.5508008120511,4.68647159905148e-20,0.82807944778221,1.1081292695757,NA,NA
